序號,診所名稱,地址,電話
1,永康身心診所,臺北市中正區金山南路一段127號,(02)2358-1818
2,平安身心精神科診所,臺北市中正區羅斯福路三段218號,(02)2368-0055
3,蘭心診所,臺北市中正區南昌路二段11號、15號,(02)2351-5995
4,大心古亭診所,臺北市中正區南昌路二段206號5樓之1,(02)2367-6883
5,孫睿亮診所,臺北市中正區金山南路一段121號,(02)2392-6233
6,捷思身心醫學診所,臺北市大安區復興南路2段236號12樓之3,(02)2322-1739
7,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8至14號,(02)2311-1525
8,夏凱納生活診所,臺北市大同區五原路15號、19號2樓,(02)2555-8313
9,中山抱抱心身醫學診所,臺北市大同區承德路1段105號5樓,(02)2559-0381
10,澄心診所,臺北市中山區中山北路二段82號2樓,(02)2523-0480
11,振芝沃本診所,臺北市中山區復興北路290號2樓之1,(02)2502-2205
12,進安身心診所,臺北市中山區北安路593號、593號地下,(02)2533-0726
13,黃雅芬兒童心智診所,臺北市中山區南京西路5之1號12樓之1,0910-222-280
14,振芝心身醫學診所,臺北市中山區復興北路282號2樓,(02)2506-9169
15,心禾診所,臺北市中山區復興北路92號11樓、11樓之1,(02)2750-6122
16,鈺璽診所,臺北市中山區南京東路二段132號4樓,(02)2509-5569
17,慶生診所,臺北市中山區林森北路561號2樓之7及之8,(02)2596-3456
18,微煦心靈診所,臺北市中山區中山北路二段39巷6號2樓之1,(02)2531-2626
19,黃偉俐診所,臺北市中山區天津街37號2樓,(02)2511-4123
20,樂康診所,臺北市松山區八德路三段 213號1樓,(02)2578-8360
21,双悅診所,臺北市松山區南京東路5段163之1號(1、2樓),(02)2760-9122
22,邱楠超診所,臺北市松山區延吉街20號1樓,(02)2570-2296
23,李政洋身心診所,臺北市松山區三民路84號,(02)2762-0086
24,昱捷診所,臺北市松山區南京東路4段143號5樓,(02)2700-2709
25,向陽身心診所,臺北市大安區忠孝東路4段218之2號2樓,(02)8771-3000
26,大安身心診所,臺北市大安區和平東路2段18之9號,(02)2365-8680
